geometry,ano,estado,area_km2
"MULTIPOLYGON (((-46.38134083 -5.39612737, -46.38267296 -5.39610834, -46.38389502 -5.39609088, -46.3856503 -5.39615972, -46.3859031 -5.39638851, -46.38595063 -5.39690909, -46.38635469 -5.39776094, -46.38673498 -5.39847082, -46.38763816 -5.39823419, -46.38913554 -5.39764263, -46.38984857 -5.39686176, -46.38972973 -5.39612822, -46.38904046 -5.39629386, -46.38873148 -5.39679078, -46.38837496 -5.39700374, -46.38744801 -5.3970274, -46.38694889 -5.3966488, -46.38690135 -5.39617555, -46.38706773 -5.39579695, -46.38685382 -5.39534736, -46.38673498 -5.39485044, -46.38635469 -5.39437719, -46.38644976 -5.39404591, -46.38625962 -5.39366731, -46.38571296 -5.39333603, -46.38566542 -5.39300475, -46.38611701 -5.39255516, -46.38683005 -5.39201092, -46.38785207 -5.39137202, -46.38823236 -5.39153766, -46.38816105 -5.39193993, -46.38768569 -5.39238952, -46.38702019 -5.39298109, -46.3878283 -5.39302842, -46.38866018 -5.39283912, -46.38920684 -5.3921529, -46.38987234 -5.39212923, -46.39001495 -5.3925315, -46.38956336 -5.39321772, -46.38839873 -5.39361998, -46.38825612 -5.39451917, -46.38854134 -5.39477946, -46.38870771 -5.39475579, -46.38911177 -5.39437719, -46.38970597 -5.39404591, -46.38999118 -5.39404591, -46.39003872 -5.39369097, -46.39018133 -5.39335969, -46.39065668 -5.39331237, -46.3910132 -5.39319406, -46.39082306 -5.39286278, -46.39058538 -5.39210557, -46.39046654 -5.39167964, -46.39022886 -5.39106441, -46.38958713 -5.39089877, -46.3883512 -5.3906858, -46.38751932 -5.39042551, -46.38673498 -5.39061482, -46.38592687 -5.39096976, -46.3853802 -5.39196359, -46.3847147 -5.39229487, -46.38378775 -5.39288644, -46.38474591 -5.39453041, -46.38418693 -5.39499622, -46.38342067 -5.39419348, -46.38166922 -5.39371913, -46.38057457 -5.3944489, -46.38061106 -5.39550706, -46.38134083 -5.39612737)))",2013,MA,0.37
"MULTIPOLYGON (((-46.38423236 -5.40330826, -46.38804813 -5.40184903, -46.38804933 -5.40173502, -46.38797188 -5.40170434, -46.38792337 -5.40147595, -46.38426311 -5.40131031, -46.38423236 -5.40330826)))",2013,MA,0.05
"MULTIPOLYGON (((-46.35529001 -5.3789726, -46.35483842 -5.37937488, -46.35483842 -5.37972983, -46.35479088 -5.380842, -46.35452944 -5.38176486, -46.3544106 -5.38252208, -46.35462451 -5.38346861, -46.35569407 -5.38403652, -46.3563358 -5.38396553, -46.3570013 -5.38398919, -46.35723898 -5.3841785, -46.35792825 -5.38375256, -46.35790448 -5.38245109, -46.35775803 -5.38133065, -46.35745289 -5.37899627, -46.35638334 -5.37906726, -46.35529001 -5.3789726)))",2013,MA,0.18
"MULTIPOLYGON (((-46.33632321 -5.39844715, -46.33563394 -5.40102636, -46.33577654 -5.40152327, -46.33534872 -5.40216216, -46.33546756 -5.40256442, -46.3356577 -5.40325062, -46.33522988 -5.40384218, -46.33473076 -5.40443374, -46.3342554 -5.40575882, -46.33430293 -5.40597178, -46.33580031 -5.40549854, -46.3367748 -5.40542755, -46.33727392 -5.40554586, -46.33770175 -5.40542755, -46.3375116 -5.404836, -46.33717885 -5.40396049, -46.33727392 -5.40341626, -46.33729769 -5.40306132, -46.3367748 -5.40341626, -46.33646581 -5.40322696, -46.33696494 -5.40273005, -46.33720262 -5.40235145, -46.33703624 -5.40187821, -46.33682233 -5.40147595, -46.33722639 -5.40133397, -46.33753537 -5.40140496, -46.33786812 -5.40112101, -46.33734523 -5.40102636, -46.33703624 -5.40060044, -46.33760667 -5.40026916, -46.33774928 -5.40031649, -46.33774928 -5.39989057, -46.33720262 -5.39974859, -46.33710755 -5.39946464, -46.33722639 -5.39901505, -46.33732146 -5.39847082, -46.33741653 -5.39825785, -46.33632321 -5.39844715)))",2013,MA,0.16
"MULTIPOLYGON (((-46.35698939 -5.40895632, -46.35749898 -5.40919271, -46.35809803 -5.40943491, -46.35888589 -5.40888597, -46.35948965 -5.40798845, -46.35976193 -5.40706207, -46.36000107 -5.40651284, -46.36074069 -5.40569841, -46.36062259 -5.40514181, -46.36007208 -5.40461881, -46.35935169 -5.40412852, -46.35877514 -5.40417331, -46.35733024 -5.40514008, -46.35658805 -5.4049919, -46.35666855 -5.40485966, -46.35621696 -5.4044574, -46.35638334 -5.40412613, -46.35659227 -5.40376955, -46.35675338 -5.40383095, -46.35694369 -5.4041088, -46.35712068 -5.40426674, -46.35745867 -5.4036786, -46.35681146 -5.4031547, -46.35690623 -5.40275371, -46.35666855 -5.40232779, -46.35612189 -5.40202018, -46.35557523 -5.40173623, -46.35529001 -5.40126299, -46.35524248 -5.40114467, -46.35548015 -5.40052945, -46.35519494 -5.4000562, -46.35545639 -5.39960662, -46.35557523 -5.39918069, -46.35524248 -5.39894407, -46.35543262 -5.39844715, -46.35571783 -5.39806855, -46.35576537 -5.39752432, -46.35538508 -5.39712205, -46.35536131 -5.39636485, -46.35550392 -5.39612822, -46.35529001 -5.39558398, -46.35452944 -5.3953237, -46.35334104 -5.39582061, -46.35329351 -5.3964595, -46.35391147 -5.3970274, -46.35422045 -5.39761897, -46.35462451 -5.39849448, -46.35460074 -5.39932267, -46.35436306 -5.39993789, -46.35436306 -5.40017451, -46.35464828 -5.40064776, -46.35395901 -5.40093171, -46.35334104 -5.40109735, -46.35386394 -5.40147595, -46.35443437 -5.40192553, -46.35398278 -5.40237512, -46.35348365 -5.40256442, -46.35338858 -5.40313231, -46.35400654 -5.40386584, -46.35334104 -5.40476501, -46.35272308 -5.40575882, -46.35239032 -5.40616108, -46.35227148 -5.40663433, -46.35350742 -5.40684728, -46.3532222 -5.40741518, -46.35360249 -5.40769912, -46.35409474 -5.40720906, -46.3546997 -5.40738123, -46.35513596 -5.40784678, -46.35556097 -5.40816882, -46.35606659 -5.40847131, -46.35591259 -5.40905454, -46.35599962 -5.40996471, -46.35562849 -5.41092999, -46.35493059 -5.41072669, -46.35443365 -5.4101371, -46.35376536 -5.41041143, -46.35352326 -5.41072287, -46.35397048 -5.41187819, -46.35480808 -5.41266371, -46.35483147 -5.41321205, -46.35546573 -5.41305353, -46.3564578 -5.4118098, -46.3562666 -5.4112706, -46.356134 -5.41087901, -46.35652141 -5.41027144, -46.35679044 -5.40965355, -46.3568884 -5.4093533, -46.35698939 -5.40895632)))",2013,MA,0.61
"MULTIPOLYGON (((-46.30663707 -5.36494013, -46.30587649 -5.36337831, -46.30635185 -5.36238443, -46.30625678 -5.36172184, -46.30478317 -5.36139054, -46.30297681 -5.36139054, -46.30093277 -5.36101192, -46.29993451 -5.36096459, -46.30036234 -5.36176917, -46.30069509 -5.36262107, -46.30131305 -5.36323633, -46.30169334 -5.36314167, -46.30207363 -5.36385159, -46.30316695 -5.36427754, -46.30307188 -5.36347297, -46.30264406 -5.36304702, -46.3021687 -5.36186382, -46.30335709 -5.36247909, -46.30487824 -5.36385159, -46.30563882 -5.36465616, -46.30592403 -5.3654134, -46.30663707 -5.36494013)))",2013,MA,0.16
"MULTIPOLYGON (((-46.27272976 -5.38049947, -46.27329067 -5.38053438, -46.27450283 -5.37987181, -46.27600021 -5.37956418, -46.27654687 -5.37920923, -46.27649934 -5.37849934, -46.27648698 -5.37808094, -46.27647557 -5.37769478, -46.27574108 -5.37752764, -46.27522738 -5.37578677, -46.27468005 -5.37549487, -46.27418142 -5.37458071, -46.27516834 -5.37166061, -46.27640427 -5.37156596, -46.27706977 -5.37142397, -46.27821063 -5.37052476, -46.27878106 -5.36990951, -46.2789712 -5.36948356, -46.27878106 -5.36858434, -46.27754513 -5.36863167, -46.27640427 -5.36962554, -46.27483558 -5.36995683, -46.27321937 -5.37071407, -46.27245879 -5.37203923, -46.27212604 -5.37317508, -46.27158587 -5.37499014, -46.27178321 -5.37516042, -46.27139608 -5.37629761, -46.27150555 -5.3779396, -46.27185156 -5.37875273, -46.27179329 -5.38020309, -46.27214981 -5.38046339, -46.27272976 -5.38049947)))",2013,MA,0.49
"MULTIPOLYGON (((-48.62173674 -5.27874665, -48.61839732 -5.27565768, -48.61693632 -5.27486457, -48.61426479 -5.27340358, -48.61363865 -5.27402972, -48.61071666 -5.27319486, -48.60992354 -5.273821, -48.61004877 -5.27515677, -48.60996529 -5.27628382, -48.60846255 -5.27636731, -48.60721027 -5.27678474, -48.60641715 -5.27774482, -48.60737724 -5.2787049, -48.61009051 -5.27937279, -48.6119272 -5.2804581, -48.61413956 -5.28041636, -48.61297076 -5.28196084, -48.61560056 -5.28379752, -48.6171033 -5.2813347, -48.62060969 -5.27966499, -48.62173674 -5.27874665)))",2013,MA,0.97
"MULTIPOLYGON (((-46.24598132 -5.36084627, -46.24576741 -5.36096459, -46.24519698 -5.36084627, -46.24469785 -5.36120123, -46.24500684 -5.36214779, -46.2456248 -5.36307068, -46.24652799 -5.36460883, -46.24645668 -5.36598133, -46.24424626 -5.36766146, -46.24339062 -5.36863167, -46.24265381 -5.36953089, -46.24253497 -5.37175526, -46.24301033 -5.37201556, -46.24301033 -5.37156596, -46.24308164 -5.37076139, -46.24355699 -5.37031179, -46.24358076 -5.36993317, -46.24410366 -5.36948356, -46.24531582 -5.36943623, -46.24624277 -5.36967287, -46.24707465 -5.36912861, -46.24764508 -5.36858434, -46.24752545 -5.36817207, -46.24844479 -5.36834311, -46.24844479 -5.3696567, -46.24972189 -5.37038647, -46.25030571 -5.36987563, -46.25005029 -5.36764983, -46.24924754 -5.36728494, -46.24936701 -5.36678713, -46.24952274 -5.36683323, -46.24949898 -5.36659659, -46.25156679 -5.36588668, -46.25361083 -5.36595767, -46.25463285 -5.36647827, -46.25506067 -5.36657293, -46.2556311 -5.36614698, -46.25577371 -5.36543707, -46.25536965 -5.36527142, -46.25539342 -5.36456151, -46.25596385 -5.36427754, -46.25536965 -5.36370961, -46.2543001 -5.36290504, -46.2537059 -5.36368594, -46.25313547 -5.36392258, -46.25218475 -5.36394625, -46.25040216 -5.36503478, -46.24918999 -5.36531875, -46.24918094 -5.36529686, -46.24906258 -5.36501066, -46.24885724 -5.36451418, -46.24831058 -5.3635203, -46.24825599 -5.3633973, -46.24811291 -5.36307489, -46.24785899 -5.36250275, -46.24766885 -5.36155619, -46.24771638 -5.36105925, -46.24752624 -5.36049131, -46.24714595 -5.35968674, -46.24700334 -5.35902415, -46.24624277 -5.35949743, -46.24586248 -5.36039666, -46.24598132 -5.36084627)))",2013,MA,0.6
"MULTIPOLYGON (((-46.23951645 -5.366005, -46.23796772 -5.36607108, -46.23727431 -5.36590505, -46.23565969 -5.36571349, -46.235085 -5.36475566, -46.23546813 -5.36442727, -46.23579653 -5.36363364, -46.2350029 -5.36314104, -46.23456504 -5.36338734, -46.23415454 -5.36508406, -46.23420928 -5.36803963, -46.23819416 -5.36673593, -46.23825675 -5.36685689, -46.24025325 -5.36666758, -46.24087122 -5.36711719, -46.24165556 -5.36768512, -46.24224976 -5.36695155, -46.24179817 -5.36662025, -46.24163179 -5.36628896, -46.24272512 -5.36645461, -46.24327178 -5.3665256, -46.24396105 -5.36643094, -46.2443651 -5.36671491, -46.24479293 -5.36664392, -46.24557727 -5.36588668, -46.24538712 -5.3648928, -46.24510191 -5.36446685, -46.24486423 -5.3635203, -46.24441264 -5.3625974, -46.24410366 -5.36276305, -46.24417496 -5.36337831, -46.24384221 -5.36432487, -46.24353323 -5.36484547, -46.24203585 -5.36453784, -46.24087122 -5.36418288, -46.23911239 -5.36361495, -46.23835182 -5.36392258, -46.23896978 -5.36420655, -46.24039586 -5.36458517, -46.24172686 -5.36498745, -46.2418457 -5.36595767, -46.23951645 -5.366005)))",2013,MA,0.28
