geometry,ano,estado,area_km2
"MULTIPOLYGON (((-49.11861547 -8.2395152, -49.11976736 -8.23982331, -49.12132398 -8.23997737, -49.12169756 -8.23960764, -49.12107492 -8.23778979, -49.11858434 -8.23079563, -49.11768151 -8.22746797, -49.11534659 -8.22709823, -49.11372771 -8.22694417, -49.11189091 -8.22691336, -49.11173525 -8.2275296, -49.11157959 -8.22814583, -49.11092581 -8.22863882, -49.1103343 -8.22882369, -49.10983618 -8.22971723, -49.10933807 -8.23033346, -49.10930694 -8.23125781, -49.10949373 -8.23202809, -49.11045883 -8.23273675, -49.11095694 -8.23282919, -49.11105034 -8.23190485, -49.11095694 -8.23113456, -49.11173525 -8.23051833, -49.11210884 -8.2301794, -49.11285601 -8.22956317, -49.1130428 -8.22910099, -49.11369658 -8.22879288, -49.11503527 -8.22863882, -49.11568904 -8.22826908, -49.11624942 -8.22870044, -49.11606263 -8.22947073, -49.11509753 -8.22962479, -49.11441262 -8.23011778, -49.11388337 -8.23045671, -49.11329186 -8.23076482, -49.11316733 -8.23107294, -49.11254469 -8.2315043, -49.11210884 -8.23196647, -49.1120777 -8.23267513, -49.1120777 -8.23341461, -49.11341639 -8.23418489, -49.11369658 -8.23430813, -49.11491074 -8.23344542, -49.11559565 -8.23252108, -49.11600037 -8.2317816, -49.11600037 -8.23138105, -49.11677867 -8.23125781, -49.11693433 -8.23212053, -49.11656075 -8.2331373, -49.11600037 -8.23369191, -49.11547112 -8.23430813, -49.1150664 -8.23470868, -49.1150664 -8.23517085, -49.11534659 -8.23557139, -49.11581357 -8.23664978, -49.1160315 -8.23757411, -49.11656075 -8.23778979, -49.11715226 -8.23708114, -49.11702773 -8.23640329, -49.11677867 -8.23557139, -49.11674754 -8.23517085, -49.11749471 -8.23489355, -49.11833528 -8.2347703, -49.11886453 -8.2353249, -49.11870887 -8.23575626, -49.11793056 -8.23637248, -49.11755698 -8.2369887, -49.11765037 -8.23748168, -49.11817962 -8.23785141, -49.11839755 -8.23822115, -49.11861547 -8.2395152)))",2013,TO,0.79
"MULTIPOLYGON (((-49.02162386 -8.13015442, -49.02162333 -8.13026242, -49.02166972 -8.13058386, -49.02162176 -8.13058386, -49.02162145 -8.13064736, -49.02004771 -8.1306397, -49.02001971 -8.13113861, -49.01958386 -8.1336966, -49.02173199 -8.13520673, -49.01955273 -8.13409725, -49.01569233 -8.13197073, -49.01404233 -8.13175499, -49.01407346 -8.13218646, -49.01399319 -8.13220236, -49.01399301 -8.1322374, -49.01382043 -8.13223656, -49.01345081 -8.13230974, -49.01344789 -8.13239962, -49.01344336 -8.13331954, -49.01236119 -8.13331425, -49.01236119 -8.13378906, -49.01235238 -8.13378976, -49.01235205 -8.13385662, -49.01156726 -8.13385278, -49.01126328 -8.13387718, -49.01126189 -8.13415921, -49.01130269 -8.13437462, -49.01126082 -8.13437721, -49.01126074 -8.1343937, -49.01101387 -8.13439249, -49.01080458 -8.13440544, -49.01071118 -8.13496018, -49.01024149 -8.13493112, -49.01021306 -8.13493098, -49.01021306 -8.13542246, -49.01016698 -8.13542515, -49.01016675 -8.13547317, -49.00968274 -8.1354708, -49.00962155 -8.1364703, -49.00961749 -8.13647125, -49.00961707 -8.1365553, -49.00926407 -8.13655357, -49.0090923 -8.13659358, -49.00907087 -8.13693299, -49.00907007 -8.13709503, -49.00892957 -8.13709434, -49.00853192 -8.1371175, -49.00853192 -8.13751814, -49.00852364 -8.13751911, -49.00852307 -8.13763476, -49.00757068 -8.13763009, -49.00747343 -8.13764142, -49.00747343 -8.1381037, -49.00743207 -8.13810652, -49.00743175 -8.13817182, -49.00655946 -8.13816754, -49.00579229 -8.13831943, -49.00544983 -8.13862762, -49.00524454 -8.14016635, -49.00524406 -8.14026164, -49.00582342 -8.14029182, -49.00579229 -8.1410931, -49.00619701 -8.14106229, -49.00685078 -8.1410931, -49.0073489 -8.14133965, -49.00787815 -8.14174029, -49.00828287 -8.14204848, -49.00868758 -8.1419252, -49.00915457 -8.14204848, -49.00959042 -8.14260321, -49.0102442 -8.14303466, -49.01074231 -8.14284975, -49.01089797 -8.14223339, -49.01089797 -8.14118556, -49.01052439 -8.14056919, -49.00993287 -8.14035346, -49.00996401 -8.13970627, -49.01021306 -8.13949054, -49.01080458 -8.13955218, -49.01127156 -8.13927481, -49.01204986 -8.13945972, -49.01261024 -8.13952136, -49.01317062 -8.13989118, -49.01379327 -8.14038428, -49.013731 -8.14133965, -49.01366874 -8.14177111, -49.01388667 -8.14229502, -49.01450931 -8.14251075, -49.0147895 -8.14315794, -49.01538101 -8.14371267, -49.015848 -8.14386676, -49.01634611 -8.1442674, -49.0167197 -8.14485294, -49.01743574 -8.14516112, -49.01815178 -8.1447913, -49.01871216 -8.14439067, -49.01893009 -8.14362021, -49.01852537 -8.14340448, -49.0185565 -8.13964463, -49.01998858 -8.13949054, -49.02086028 -8.1390899, -49.02356879 -8.13640867, -49.02344426 -8.13573065, -49.02297728 -8.13560738, -49.02300841 -8.13502182, -49.02335086 -8.1343438, -49.02384898 -8.13406643, -49.02462728 -8.13449789, -49.02581031 -8.13280285, -49.02553012 -8.13271039, -49.025032 -8.13230974, -49.02391124 -8.13147762, -49.02272822 -8.13073796, -49.02210557 -8.13021403, -49.02162386 -8.13015442)))",2013,TO,1.66
"MULTIPOLYGON (((-48.22490012 -5.24407762, -48.22178981 -5.24659101, -48.22295867 -5.24691902, -48.22349949 -5.24692143, -48.22367484 -5.24608833, -48.22458594 -5.24486305, -48.22490012 -5.24407762)))",2013,TO,0.03
"MULTIPOLYGON (((-48.62157149 -5.34378011, -48.6215001 -5.34338915, -48.62160719 -5.34267833, -48.62371327 -5.34186088, -48.62224972 -5.34043923, -48.6205363 -5.34104343, -48.61796617 -5.34218075, -48.61907275 -5.34378011, -48.62157149 -5.34378011)))",2016,TO,0.13
"MULTIPOLYGON (((-48.60969831 -5.34722226, -48.61050715 -5.34722541, -48.61054133 -5.34637461, -48.61014867 -5.34630352, -48.60968462 -5.34637461, -48.60943474 -5.34609028, -48.60804259 -5.34427768, -48.60618638 -5.34459755, -48.60629347 -5.34704988, -48.60969831 -5.34722226)))",2016,TO,0.1
"MULTIPOLYGON (((-48.59649975 -5.39505491, -48.59534756 -5.39319368, -48.59146998 -5.39465608, -48.59104899 -5.39481118, -48.59133704 -5.39545375, -48.5924006 -5.39614063, -48.59335338 -5.39540943, -48.59488225 -5.39470039, -48.5959015 -5.39560885, -48.59649975 -5.39505491)))",2013,TO,0.09
"MULTIPOLYGON (((-48.60393751 -5.34470418, -48.60375903 -5.34381565, -48.6011532 -5.34314036, -48.60001092 -5.34285603, -48.59911851 -5.34278495, -48.59926129 -5.34427768, -48.60033218 -5.34438431, -48.60186713 -5.34417106, -48.6030808 -5.34417106, -48.60329498 -5.34466863, -48.60393751 -5.34470418)))",2016,TO,0.06
"MULTIPOLYGON (((-48.54654409 -5.29121878, -48.54349343 -5.29129734, -48.54365123 -5.29242337, -48.54396681 -5.29331371, -48.5441772 -5.29388981, -48.54462428 -5.29459685, -48.54515025 -5.29540863, -48.54567623 -5.29574906, -48.54601811 -5.29622041, -48.54672818 -5.29611567, -48.54693857 -5.29546101, -48.54709636 -5.29454448, -48.54746454 -5.29399456, -48.54767493 -5.29315659, -48.54720155 -5.29208294, -48.54688597 -5.29142827, -48.54654409 -5.29121878)))",2013,TO,0.17
"MULTIPOLYGON (((-48.64917431 -5.35280207, -48.64795564 -5.35167203, -48.64678129 -5.35235892, -48.64596146 -5.35220382, -48.64498653 -5.35171635, -48.64379002 -5.35136183, -48.64319177 -5.35029827, -48.64334687 -5.34905744, -48.64458769 -5.34772799, -48.64509732 -5.34684168, -48.64465417 -5.34637638, -48.64367923 -5.34790525, -48.64221683 -5.34941196, -48.64221683 -5.35020963, -48.64265999 -5.35162772, -48.64494221 -5.3528907, -48.64531889 -5.3530458, -48.64454338 -5.35457468, -48.64458769 -5.35561608, -48.6448979 -5.35585981, -48.64545184 -5.35617002, -48.64560694 -5.35650238, -48.64655972 -5.35648023, -48.64691424 -5.35623649, -48.64735739 -5.35484057, -48.64793349 -5.35404289, -48.64917431 -5.35280207)))",2013,TO,0.24
"MULTIPOLYGON (((-48.64053286 -5.35227029, -48.63964656 -5.35297933, -48.64046639 -5.35348896, -48.64102033 -5.3536219, -48.64135269 -5.35322306, -48.64157426 -5.35293502, -48.64053286 -5.35227029)))",2013,TO,0.02
