geometry,ano,estado,area_km2
"MULTIPOLYGON (((-60.90289345 3.08774923, -60.90198104 3.08787957, -60.90132931 3.08644578, -60.90204621 3.08488164, -60.90354517 3.08429509, -60.90354517 3.08716267, -60.90289345 3.08774923)))",2016,RR,0.07
"MULTIPOLYGON (((-60.84973829 3.07137932, -60.8492867 3.07126066, -60.84933424 3.06929075, -60.84992844 3.06924328, -60.84973829 3.07137932)))",2013,RR,0.01
"MULTIPOLYGON (((-60.87615334 3.4260016, -60.87419114 3.42785059, -60.87328551 3.42785059, -60.87162518 3.42754871, -60.87249308 3.41203979, -60.87302136 3.41068135, -60.87487036 3.41060588, -60.87615334 3.4260016)))",2013,RR,0.71
"MULTIPOLYGON (((-60.66349863 3.31906638, -60.66477322 3.31806012, -60.66598073 3.31624886, -60.66698698 3.31490718, -60.66812741 3.31510843, -60.670207 3.31946888, -60.66349863 3.31906638)))",2013,RR,0.2
"MULTIPOLYGON (((-60.82031662 3.09938678, -60.82321476 3.09874542, -60.82351007 3.10166781, -60.82540007 3.1019285, -60.82611697 3.10394885, -60.82566076 3.10460057, -60.82292352 3.10460057, -60.82031662 3.09938678)))",2016,RR,0.21
"MULTIPOLYGON (((-60.6354157 3.29409446, -60.62751659 3.29510071, -60.62766753 3.28961662, -60.63536539 3.29097506, -60.6354157 3.29409446)))",2013,RR,0.41
"MULTIPOLYGON (((-60.66780057 3.17388784, -60.66779922 3.17448657, -60.66760435 3.17448613, -60.66725965 3.17448535, -60.66725895 3.17479347, -60.66725843 3.17502772, -60.66741422 3.17502807, -60.66779801 3.17502894, -60.66779754 3.17523771, -60.66779557 3.17611368, -60.66833515 3.17611491, -60.66833513 3.17612326, -60.66833393 3.17665728, -60.66996525 3.17773456, -60.66673281 3.17790068, -60.66663774 3.17412738, -60.66689919 3.17393753, -60.66687542 3.17279842, -60.66780287 3.17285946, -60.66780057 3.17388784)))",2013,RR,0.09
"MULTIPOLYGON (((-60.6440695 3.28508846, -60.63813259 3.2863966, -60.63858541 3.28081188, -60.64150355 3.28237157, -60.6440695 3.28508846)))",2013,RR,0.22
"MULTIPOLYGON (((-60.8396193 3.05240469, -60.83749809 3.0532045, -60.8360028 3.05163967, -60.83586371 3.05080509, -60.83662874 3.04951845, -60.83669828 3.04830136, -60.83537687 3.04868387, -60.83412501 3.04795362, -60.83367295 3.04666698, -60.8345423 3.04628447, -60.83530732 3.04725814, -60.83680261 3.0461106, -60.83582893 3.04492828, -60.83704603 3.04433712, -60.83902814 3.04851, -60.83944543 3.05056167, -60.8396193 3.05240469)))",2013,RR,0.3
"MULTIPOLYGON (((-60.83524111 3.11085713, -60.83465456 3.10942333, -60.83315559 3.10870644, -60.83211283 3.10557816, -60.83180369 3.10465074, -60.83690743 3.10294949, -60.83797275 3.10614547, -60.83721702 3.10744899, -60.8383706 3.1081178, -60.83908628 3.10987954, -60.83524111 3.11085713)))",2016,RR,0.42
"MULTIPOLYGON (((-60.83026509 3.05800331, -60.82929142 3.05925517, -60.82393622 3.05960291, -60.8236928 3.05782944, -60.82946529 3.05473455, -60.83026509 3.05800331)))",2013,RR,0.24
"MULTIPOLYGON (((-60.85466249 3.10029919, -60.85107801 3.09795299, -60.85427145 3.0962585, -60.85567064 3.09889544, -60.85466249 3.10029919)))",2016,RR,0.11
"MULTIPOLYGON (((-60.90629504 3.03287715, -60.90657323 3.03338717, -60.90685142 3.03380446, -60.90759327 3.03459267, -60.90847421 3.03338717, -60.90954061 3.03269169, -60.91292528 3.03320171, -60.91241526 3.03533452, -60.91097794 3.03579817, -60.91028246 3.03677184, -60.90879877 3.03885828, -60.90731508 3.0393683, -60.90564592 3.03853373, -60.9051359 3.03565907, -60.90629504 3.03287715)))",2013,RR,0.39
